----------------------------------------------------------------------------------------------
Bean传感器AX 3DS

Mac Id : 00158D00000E09D4
网络ID : 0002
Pan Id : 3900
传感器ID : 0
传感器标签 : Ch_X

比率 : 1
偏移量 : 0
单位 : g

DATE_FORMAT : yyyy/M/d tt hh:mm:ss
日期 : 2020/2/1 上午 12:05:16

数据采集周期 : 304
数据采集持续时间 : 300
抽样率 : 400
截止频率 : 8
----------------------------------------------------------------------------------------------
测量目录;测量值
1164;0.9587
1165;0.9094
1166;0.8573
1167;0.8486
1168;0.7906
1169;0.8515
1170;0.8891
1171;1.0978
1172;1.1093
1173;1.034
1174;0.8283
1175;1.0195
1176;0.8254
1177;0.9645
1178;0.7472
1179;0.8978
1180;0.8573
1181;1.1441
1182;1.1441
1183;0.9413
1184;1.0659
1185;0.8631
1186;0.9848
1187;1.005
1188;0.8283
1189;0.9877
1190;0.9094
1191;1.0601
1192;1.1267
1193;0.9761
1194;1.1963
1195;0.8862
1196;1.0253
1197;1.0079
1198;1.0717
1199;1.1296
1200;0.9384
1201;0.8891
1202;1.0282
1203;1.0021
1204;1.0311
1205;1.1325
1206;0.9094
1207;0.8544
1208;0.8486
1209;0.9094
1210;0.8515
1211;0.9558
1212;0.9297
1213;0.9413
1214;0.8196
1215;0.9703
1216;0.9355
1217;0.95
1218;0.8196
1219;0.8891
1220;1.0253
1221;1.0978
1222;1.0891
1223;0.9819
1224;0.8022
1225;0.9529
1226;1.0166
1227;0.9674
1228;0.9963
1229;0.9674
1230;0.9616
1231;1.1151
1232;1.1036
1233;1.1586
1234;1.0021
1235;0.9326
1236;0.9558
1237;1.0543
1238;1.0137
1239;1.0717
1240;0.979
1241;0.9645
1242;1.005
1243;1.092
1244;1.0514
1245;0.9413
1246;0.866
1247;1.0398
1248;0.9036
1249;0.9819
1250;0.9065
1251;0.8804
1252;0.8602
1253;0.921
1254;0.9326
1255;0.9905
1256;0.866
1257;0.7616
1258;0.8167
1259;0.9761
1260;1.0253
1261;1.0282
1262;0.9036
1263;0.8949
1264;1.0311
1265;1.0253
1266;0.9471
1267;0.9529
1268;0.9065
1269;0.9239
1270;1.0079
1271;1.0543
1272;1.0166
1273;1.0456
1274;0.9934
1275;1.0021
1276;1.1267
1277;1.1093
1278;1.0311
1279;0.9616
1280;0.95
1281;0.9877
1282;0.9587
1283;0.9963
1284;0.9905
1285;0.9181
1286;1.0195
1287;0.9152
1288;0.8746
1289;1.0862
1290;0.9036
1291;0.8746
1292;0.9674
1293;0.9152
1294;1.1934
1295;1.176
1296;0.866
1297;0.9471
1298;0.9905
1299;1.0021
1300;1.1325
1301;1.0804
1302;1.0833
1303;0.9992
1304;0.8978
1305;1.1441
1306;1.1557
1307;1.118
1308;1.2021
1309;0.9674
1310;1.0282
1311;1.0572
1312;1.0137
1313;0.9992
1314;0.892
1315;1.0021
1316;1.0804
1317;1.0427
1318;1.0021
1319;0.8544
1320;0.8949
1321;0.8225
1322;0.9674
1323;1.0427
1324;0.9616
1325;1.0224
1326;1.0137
1327;1.1238
1328;0.9877
1329;0.9992
1330;0.808
1331;0.8573
1332;0.7877
1333;0.9268
1334;1.0688
1335;0.9326
1336;1.0021
1337;0.9007
1338;1.0282
1339;1.0833
1340;1.0601
1341;0.9587
1342;0.9992
1343;0.9992
1344;0.9905
1345;1.0137
1346;1.0224
1347;0.9094
1348;0.9934
1349;1.0891
1350;1.0427
1351;1.0485
1352;1.034
1353;0.9963
1354;0.9732
1355;1.092
1356;0.9413
1357;1.0688
1358;1.0833
1359;1.0021
1360;1.0775
1361;0.9616
1362;0.9123
1363;1.1151
1364;1.0688
1365;0.9703
1366;0.9065
1367;1.0224
1368;0.9529
1369;0.9558
1370;0.9384
1371;0.9123
1372;0.9905
1373;1.0108
1374;1.0166
1375;1.0253
1376;0.9934
1377;1.005
1378;0.9442
1379;0.9877
1380;1.0543
1381;0.9152
1382;0.9036
1383;0.9413
1384;1.1499
1385;1.0166
1386;1.1238
1387;1.0195
1388;1.1644
1389;1.2629
1390;1.034
1391;0.9442
1392;0.9934
1393;1.0398
1394;0.9905
1395;0.9152
1396;1.0021
1397;0.8399
1398;0.7501
1399;1.0021
1400;1.0775
1401;1.0079
1402;0.7819
1403;0.9616
1404;1.0833
1405;0.9819
1406;1.0572
1407;1.0688
1408;0.892
1409;0.6921
1410;0.8631
1411;1.373
1412;1.0282
1413;0.9529
1414;0.9094
1415;1.0398
1416;1.0253
1417;1.1122
1418;0.979
1419;0.9326
1420;0.7761
1421;0.8718
1422;0.9761
1423;1.0137
1424;1.0224
1425;0.9905
1426;0.9181
1427;0.9297
1428;1.147
1429;1.0108
1430;0.866
1431;0.95
1432;0.9905
1433;0.8775
1434;1.0427
1435;1.0282
1436;0.9905
1437;0.8573
1438;0.9384
1439;1.1673
1440;1.2687
1441;1.0311
1442;0.9558
1443;0.9065
1444;0.9877
1445;0.9877
1446;0.9152
1447;1.1036
1448;0.9587
1449;0.9848
1450;0.9732
1451;1.1064
1452;1.034
1453;0.9181
1454;0.8862
1455;1.0514
1456;0.9007
1457;0.9645
1458;0.9239
1459;0.9616
1460;0.8978
1461;0.9877
1462;1.2223
1463;1.1209
1464;0.9616
1465;0.8891
1466;1.0137
1467;1.1036
1468;1.0804
1469;1.0427
1470;0.921
1471;0.8457
1472;1.005
1473;1.0688
1474;1.1441
1475;0.9992
1476;1.0137
1477;0.9413
1478;1.034
1479;1.0137
1480;0.9094
1481;0.8225
1482;0.8718
1483;1.0282
1484;0.9471
1485;1.0398
1486;0.892
1487;1.0137
1488;0.7674
1489;0.9094
1490;0.9934
1491;0.7993
1492;0.9848
1493;0.9442
1494;1.0514
1495;1.005
1496;1.034
1497;1.1412
1498;1.0949
1499;1.0862
1500;1.063
1501;1.034
1502;1.063
1503;0.9905
1504;1.0166
1505;1.0514
1506;1.092
1507;1.1064
1508;1.0601
1509;0.9297
1510;0.9732
1511;0.9963
1512;0.9645
1513;1.0079
1514;0.9992
1515;0.9268
1516;0.9239
1517;0.8949
1518;1.0079
1519;0.9963
1520;0.95
1521;0.9181
1522;0.892
1523;1.0253
1524;1.063
1525;0.9442
1526;0.8225
1527;0.9384
1528;0.9645
1529;1.0195
1530;1.034
1531;1.0746
1532;0.9674
1533;0.8775
1534;0.9413
1535;1.0253
1536;1.0514
1537;1.0021
1538;0.9761
1539;1.0601
1540;0.9674
1541;1.0427
1542;0.8746
1543;0.8457
1544;1.0166
1545;0.8833
1546;1.0601
1547;1.0659
1548;1.1209
1549;1.1586
1550;0.9268
1551;1.2137
1552;0.9442
1553;0.9761
1554;1.0543
1555;0.9036
1556;0.7269
1557;0.8631
1558;1.1818
1559;0.8109
1560;1.0079
1561;0.979
1562;1.0079
1563;0.95
1564;1.0253
1565;0.9094
1566;0.9036
1567;0.8457
1568;1.0398
1569;0.892
1570;1.0543
1571;1.0108
1572;0.9471
1573;0.9355
1574;0.8341
1575;1.0282
1576;0.9819
1577;0.9905
1578;0.9471
1579;0.9703
1580;1.1441
1581;1.092
1582;1.1615
1583;1.0137
1584;0.9326
1585;1.0224
1586;1.0021
1587;1.0804
1588;1.0775
1589;1.0427
1590;0.9732
1591;1.0253
1592;1.0688
1593;1.0108
1594;0.8775
1595;0.8515
1596;0.9413
1597;0.9819
1598;1.1209
1599;0.9123
1600;0.9065
1601;0.8862
1602;0.9007
1603;0.9065
1604;0.9558
1605;0.9963
1606;0.9268
1607;0.9036
1608;0.9703
1609;1.092
1610;1.1499
1611;0.9674
1612;0.95
1613;0.9326
1614;0.9674
1615;1.034
1616;1.0137
1617;0.9471
1618;1.0079
1619;1.0456
1620;1.1238
1621;1.1441
1622;1.1036
1623;0.9703
1624;0.9905
1625;1.0572
1626;1.0369
1627;1.0775
1628;0.9848
1629;0.9413
1630;1.0253
1631;1.0166
1632;0.9732
1633;0.866
1634;0.921
1635;0.9529
1636;1.0021
1637;1.0514
1638;1.0427
1639;0.9094
1640;0.9905
1641;0.9326
1642;0.9905
1643;1.0224
1644;0.9558
1645;0.9848
1646;0.9558
1647;0.9848
1648;0.9442
1649;0.9905
1650;0.9587
1651;0.9848
1652;1.0862
1653;0.9616
1654;1.0891
1655;1.0601
1656;1.1441
1657;1.0021
1658;0.9558
1659;1.0543
1660;0.9558
1661;0.9645
1662;0.9732
1663;1.2426
1664;1.205
1665;0.9819
1666;0.9819
1667;0.866
1668;0.8225
1669;0.9905
1670;1.1093
1671;1.1673
1672;0.9123
1673;0.9732
1674;0.9963
1675;0.9558
1676;0.9848
1677;1.0079
1678;0.9645
1679;1.1238
1680;0.8718
1681;0.8428
1682;0.9674
1683;0.9905
1684;0.9703
1685;0.9877
1686;0.7993
1687;0.9732
1688;0.9152
1689;1.0543
1690;1.0485
1691;1.0282
1692;1.1238
1693;1.0659
1694;0.9529
1695;0.8196
1696;0.9152
1697;0.9355
1698;0.9848
1699;0.9819
1700;1.0949
1701;1.0978
1702;1.1615
1703;1.1036
1704;0.9877
1705;1.0253
1706;0.9848
1707;0.8746
1708;0.8978
1709;1.0253
1710;0.9094
1711;0.9413
1712;0.9268
1713;0.9645
1714;1.0369
1715;1.1296
1716;0.9007
1717;0.9442
1718;0.9297
1719;1.063
1720;1.1064
1721;0.9471
1722;0.9645
1723;0.866
1724;0.9819
1725;0.9848
