----------------------------------------------------------------------------------------------
Bean传感器AX 3DS

Mac Id : 00158D00000E09D4
网络ID : 0002
Pan Id : 3900
传感器ID : 1
传感器标签 : Ch_Y

比率 : 1
偏移量 : 0
单位 : g

DATE_FORMAT : yyyy/M/d tt hh:mm:ss
日期 : 2020/2/1 上午 12:10:20

数据采集周期 : 304
数据采集持续时间 : 300
抽样率 : 400
截止频率 : 8
----------------------------------------------------------------------------------------------
测量目录;测量值
1023;-0.0713
1024;0.0356
1025;0.0595
1026;0.1428
1027;-0.0207
1028;-0.0088
1029;0.0297
1030;0.1398
1031;0.119
1032;0.0476
1033;0.1279
1034;0.1249
1035;0.0595
1036;0.122
1037;-0.0445
1038;0.2053
1039;0.1875
1040;0.1369
1041;-0.1398
1042;-0.1874
1043;0.1279
1044;0.1517
1045;0.1398
1046;-0.0475
1047;-0.0207
1048;0.0892
1049;0.119
1050;0.0356
1051;-0.1279
1052;0.0001
1053;0.0178
1054;-0.116
1055;0.116
1056;-0.1309
1057;0.0089
1058;0.0446
1059;0.0148
1060;0.0535
1061;0.1071
1062;0.1875
1063;0.0446
1064;-0.0386
1065;0.0922
1066;0.1071
1067;0.0684
1068;-0.0237
1069;0.0089
1070;0.0922
1071;0.1071
1072;0.116
1073;0.0356
1074;0.0803
1075;0.113
1076;0.0654
1077;0.0297
1078;-0.0058
1079;0.0892
1080;0.1309
1081;0.1904
1082;0.0237
1083;0.0476
1084;0.1011
1085;0.2291
1086;0.0327
1087;0.0178
1088;0.0714
1089;-0.0088
1090;0.0833
1091;-0.0029
1092;-0.0892
1093;0.0565
1094;0.0535
1095;-0.11
1096;-0.0594
1097;0.0624
1098;0.1071
1099;0.0505
1100;0.0089
1101;-0.0029
1102;0.1101
1103;0.0595
1104;0.0118
1105;-0.0803
1106;0.0803
1107;0.1458
1108;0.0982
1109;0.1071
1110;-0.0773
1111;0.1249
1112;-0.0296
1113;0.1577
1114;0.0624
1115;0.0237
1116;0.0148
1117;-0.0594
1118;0.0356
1119;-0.0416
1120;-0.0237
1121;0.0327
1122;-0.0356
1123;-0.0892
1124;0.0863
1125;0.1964
1126;0.0892
1127;-0.1219
1128;-0.107
1129;0.2976
1130;0.0446
1131;0.0267
1132;0.1517
1133;0.0773
1134;0.2529
1135;0.1488
1136;-0.1368
1137;-0.0743
1138;-0.0713
1139;0.0505
1140;0.1249
1141;-0.0594
1142;-0.1517
1143;0.2023
1144;0.1696
1145;0.0505
1146;-0.1696
1147;0.0654
1148;0.1577
1149;0.1041
1150;-0.0058
1151;-0.0892
1152;0.1994
1153;0.2351
1154;-0.0148
1155;-0.0356
1156;-0.0207
1157;0.0714
1158;0.1249
1159;-0.1487
1160;-0.1219
1161;0.0714
1162;0.0624
1163;0.0773
1164;-0.0326
1165;-0.0207
1166;-0.0475
1167;0.0356
1168;-0.0892
1169;-0.0683
1170;0.0892
1171;0.1577
1172;0.1071
1173;-0.0416
1174;-0.0505
1175;0.0565
1176;0.0803
1177;-0.0475
1178;-0.0029
1179;0.0833
1180;0.1309
1181;0.0684
1182;-0.0148
1183;-0.0148
1184;0.0476
1185;0.0565
1186;-0.0058
1187;-0.0148
1188;0.113
1189;0.122
1190;0.0743
1191;0.0416
1192;-0.0207
1193;0.1845
1194;0.1666
1195;0.119
1196;-0.0237
1197;0.0297
1198;0.0982
1199;0.119
1200;-0.0029
1201;-0.0267
1202;0.1101
1203;0.0863
1204;0.0237
1205;-0.0624
1206;-0.0296
1207;0.0535
1208;0.113
1209;-0.0058
1210;0.0624
1211;0.0356
1212;0.0267
1213;0.0743
1214;-0.0594
1215;-0.0207
1216;0.0356
1217;0.1547
1218;0.0565
1219;0.0654
1220;-0.0148
1221;0.0178
1222;0.1101
1223;0.0208
1224;0.0089
1225;0.0952
1226;-0.0683
1227;-0.0029
1228;-0.0207
1229;0.0267
1230;0.0416
1231;-0.0594
1232;-0.0088
1233;-0.0058
1234;0.0029
1235;0.0267
1236;0.0237
1237;-0.0951
1238;0.0029
1239;0.0922
1240;-0.0624
1241;0.0059
1242;0.0356
1243;0.0089
1244;0.119
1245;-0.0832
1246;-0.0892
1247;0.1249
1248;0.0803
1249;-0.0177
1250;-0.0535
1251;0.0714
1252;0.0743
1253;0.0178
1254;-0.0207
1255;0.0684
1256;-0.0296
1257;0.0001
1258;-0.0862
